,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
136,Vostok,RU,1559866468,46.45,135.83,65.93,70,41,1.79
137,Margate,AU,1559866468,-43.03,147.26,59.0,58,75,19.46
138,Chulman,RU,1559866468,56.84,124.9,73.49,43,73,0.69
139,Jijiga,ET,1559866469,9.35,42.8,59.45,95,96,7.63
140,Haridwar,IN,1559866288,29.97,78.17,83.39,25,0,5.75
141,Labuhan,ID,1559866469,-2.54,115.51,78.53,87,48,0.51
142,Cidreira,BR,1559866469,-30.17,-50.22,66.47,85,47,9.15
143,Belyy Yar,RU,1559866469,53.6,91.39,55.4,76,0,2.24
144,Thompson,CA,1559866470,55.74,-97.86,68.0,37,75,3.36
145,Bilibino,RU,1559866470,68.06,166.44,43.25,70,93,3.2
146,Victoria,BN,1559866470,5.28,115.24,80.6,100,75,2.64
147,Frontera,MX,1559866471,18.53,-92.64,96.8,50,40,12.17
148,Zelenoborskiy,RU,1559866471,66.84,32.36,54.59,85,26,2.64
149,Kaitangata,NZ,1559866471,-46.28,169.85,48.0,74,75,11.99
150,Dosso,NE,1559866472,13.05,3.19,98.69,29,100,9.84
151,Kavieng,PG,1559866472,-2.57,150.8,84.47,73,65,6.4
152,Mahebourg,MU,1559866472,-20.41,57.7,73.4,83,75,14.99
153,Timaru,NZ,1559866472,-44.39,171.25,51.01,46,1,3.0
154,Goure,NE,1559866473,13.98,10.27,88.79,53,100,10.27
155,Hambantota,LK,1559866473,6.12,81.12,82.85,81,98,15.93
156,Miles City,US,1559866473,46.41,-105.84,90.0,31,1,14.99
157,Merauke,ID,1559866473,-8.49,140.4,80.33,82,86,24.92
158,Dikson,RU,1559866474,73.51,80.55,32.45,83,100,3.53
159,Torbay,CA,1559866474,47.66,-52.73,57.2,87,90,21.92
160,Pahalgam,IN,1559866474,34.03,75.33,49.01,61,1,4.61
161,Dingle,PH,1559866474,11.0,122.67,85.91,63,87,10.18
162,Conde,BR,1559866331,-11.81,-37.61,70.79,96,71,5.23
163,Riyadh,SA,1559866236,24.63,46.72,84.2,16,0,4.03
164,Karratha,AU,1559866218,-20.74,116.85,66.47,27,51,17.67
165,Burnie,AU,1559866475,-41.05,145.91,55.99,85,82,8.99
166,Namibe,AO,1559866475,-15.19,12.15,70.61,75,0,3.47
167,Petropavlovsk-Kamchatskiy,RU,1559866475,53.05,158.65,48.2,93,90,8.95
168,Fort-Shevchenko,KZ,1559866475,44.51,50.26,73.31,61,90,15.41
169,Longyearbyen,NO,1559866475,78.22,15.63,35.6,74,75,24.16
170,Ahipara,NZ,1559866476,-35.17,173.16,55.0,100,76,38.12
171,Port Hawkesbury,CA,1559866476,45.62,-61.36,57.99,93,90,8.05
172,Meadow Lake,CA,1559866455,54.13,-108.44,68.0,42,75,19.46
173,Nouadhibou,MR,1559866476,20.93,-17.03,68.0,64,0,20.8
174,Lavrentiya,RU,1559866476,65.58,-170.99,56.03,60,72,5.17
175,Juybar,IR,1559866476,36.64,52.91,75.11,63,82,2.19
176,Samarai,PG,1559866477,-10.62,150.67,75.83,91,100,8.9
177,Tianpeng,CN,1559866477,28.88,112.34,77.63,75,1,3.49
178,Port Lincoln,AU,1559866477,-34.72,135.86,56.75,60,0,17.52
179,Morgan City,US,1559866193,29.7,-91.21,86.0,74,75,12.75
180,Zumarraga,ES,1559866477,43.09,-2.32,73.4,62,40,19.46
181,Flinders,AU,1559866477,-34.58,150.85,63.0,66,0,9.17
182,Hamilton,CA,1559866230,43.26,-79.87,73.4,40,1,2.55
183,Puerto El Triunfo,SV,1559866478,13.27,-88.55,82.4,88,20,1.12
184,Veseloyarsk,RU,1559866478,51.29,81.11,55.67,69,0,9.28
185,Codrington,AU,1559866478,-28.95,153.24,59.0,87,90,4.7
186,Aitape,PG,1559866478,-3.15,142.36,85.19,68,96,3.58
187,Tommot,RU,1559866479,58.97,126.27,67.91,53,99,4.38
188,Lagoa,PT,1559866198,37.14,-8.45,64.4,88,75,17.22
189,Kingman,US,1559866352,35.19,-114.05,104.0,9,1,20.8
190,Soe,EE,1559866479,57.91,26.05,66.2,82,1,3.36
191,Saldanha,PT,1559866479,41.42,-6.55,45.59,91,21,6.35
192,Bay Roberts,CA,1559866479,47.58,-53.28,57.2,87,90,21.92
193,Marapanim,BR,1559866479,-0.71,-47.7,83.03,79,40,16.13
194,Hulst,NL,1559866480,51.28,4.05,57.0,93,0,4.7
195,Champerico,MX,1559866480,16.38,-93.6,93.2,41,75,3.36
196,Mandera,ET,1559866480,3.94,41.86,79.07,67,13,14.85
197,Hobart,AU,1559866289,-42.88,147.33,59.0,58,75,19.46
198,Srednekolymsk,RU,1559866480,67.46,153.71,51.17,32,100,3.51
199,Port Elizabeth,US,1559866480,39.31,-74.98,82.99,74,1,4.7
200,Yumen,CN,1559866481,40.29,97.04,74.03,21,0,2.21
201,Egvekinot,RU,1559866481,66.32,-179.17,42.53,90,96,5.91
202,Novoagansk,RU,1559866481,61.94,76.66,61.61,43,99,15.23
203,Lorengau,PG,1559866481,-2.02,147.27,83.39,81,100,6.89
204,Alofi,NU,1559866234,-19.06,-169.92,84.2,70,75,8.05
205,Parrita,CR,1559866481,9.52,-84.33,78.8,69,0,10.29
206,Ketchikan,US,1559866482,55.34,-131.65,64.4,45,40,12.75
207,Gat,SN,1559866482,14.69,-16.54,69.8,94,75,9.17
208,Rawson,AR,1559866482,-43.3,-65.11,49.19,39,0,21.0
209,Te Anau,NZ,1559866482,-45.41,167.72,38.93,94,64,5.66
210,Walvis Bay,NA,1559866482,-22.95,14.51,50.0,87,0,4.7
211,Abu Dhabi,AE,1559866483,24.47,54.37,89.6,42,0,6.93
212,Buenos Aires,AR,1559866275,-34.61,-58.44,64.0,88,40,1.12
213,Quesnel,CA,1559866484,52.98,-122.49,55.4,50,90,9.17
214,Hami,CN,1559866484,42.84,93.51,80.87,18,38,10.4
215,Boende,CD,1559866484,-0.28,20.88,71.33,66,10,1.88
216,Alekseyevsk,RU,1559866484,57.84,108.35,60.53,55,1,2.86
217,Chicama,PE,1559866484,-7.84,-79.15,66.2,88,39,9.17
218,Glenwood Springs,US,1559866485,39.55,-107.33,82.4,19,1,11.41
219,Olga,US,1559866274,34.11,-118.17,80.6,68,1,7.02
220,Rome,IT,1559866418,41.89,12.48,66.0,87,0,3.36
221,Sao Filipe,CV,1559866485,14.9,-24.5,74.39,82,0,18.79
222,Zyryanka,RU,1559866485,65.73,150.89,49.19,36,100,11.88
223,Robe,ET,1559866485,7.12,40.01,49.73,82,89,3.4
224,Anadyr,RU,1559866204,64.73,177.51,51.8,57,0,13.42
225,College,US,1559866201,64.86,-147.8,69.8,42,90,18.34
226,Honningsvag,NO,1559866486,70.98,25.97,39.83,91,37,4.43
227,Basco,US,1559866486,40.33,-91.2,84.2,76,20,4.7
228,Port Hedland,AU,1559866486,-20.31,118.58,57.2,26,50,10.29
229,La Libertad,PE,1559866354,-16.38,-71.56,59.0,13,0,4.7
230,San Cristobal,EC,1559866487,-0.39,-78.55,60.8,71,75,1.12
231,San Luis,AR,1559866488,-33.3,-66.34,58.55,52,20,15.03
232,Guerrero Negro,MX,1559866488,27.97,-114.04,64.85,85,41,14.0
233,Cabo San Lucas,MX,1559866343,22.89,-109.91,87.01,42,5,6.93
234,Jackville,CI,1559866488,5.21,-4.42,80.6,88,20,8.05
235,Mackenzie,CA,1559866489,55.34,-123.09,50.0,61,90,5.82
236,Nizhniy Tsasuchey,RU,1559866489,50.52,115.13,50.63,79,99,15.79
237,Leh,IN,1559866489,34.16,77.58,28.67,67,86,3.74
238,Calabozo,VE,1559866489,8.92,-67.43,77.63,90,100,2.53
239,Faribault,US,1559866489,44.3,-93.27,87.01,32,1,6.93
240,Tadine,NC,1559866489,-21.55,167.88,71.69,71,100,22.53
241,Tshikapa,CD,1559866490,-6.42,20.79,68.99,34,30,3.11
242,Hobyo,SO,1559866491,5.35,48.53,80.69,73,29,21.74
243,Saint-Augustin,FR,1559866491,44.83,-0.61,66.2,63,0,12.75
244,Normandin,CA,1559866298,48.84,-72.53,60.8,36,20,4.7
245,Borogontsy,RU,1559866491,62.67,131.17,67.55,33,0,3.53
246,Salinas,US,1559866366,36.67,-121.66,77.0,46,1,19.46
247,Bethel,US,1559866492,60.79,-161.76,53.6,66,75,13.87
248,Miandrivazo,MG,1559866492,-19.53,45.46,68.09,78,0,1.05
249,Mazamari,PE,1559866493,-11.33,-74.53,24.71,82,10,7.11
250,Karpogory,RU,1559866493,64.0,44.44,55.31,60,100,7.83
251,Hualmay,PE,1559866206,-11.1,-77.61,61.97,90,7,19.93
252,Fortuna,ES,1559866217,38.18,-1.13,66.99,82,90,3.67
253,Copiapo,CL,1559866461,-27.37,-70.33,57.2,76,75,6.93
254,Barreirinhas,BR,1559866493,-2.75,-42.83,74.57,95,14,2.91
255,Palu,ID,1559866403,-0.9,119.87,81.77,63,87,2.71
256,Lakes Entrance,AU,1559866494,-37.88,147.99,42.01,96,26,1.01
257,Miramar,CR,1559866494,10.09,-84.73,78.8,69,75,5.82
258,Iraquara,BR,1559866495,-12.24,-41.62,59.99,90,56,7.85
259,Pont-Rouge,CA,1559866495,46.76,-71.7,69.8,52,40,9.17
260,Kununurra,AU,1559866495,-15.77,128.74,66.2,20,62,11.41
261,Taitung,TW,1559866496,22.76,121.15,86.0,70,75,3.36
262,Bukama,CD,1559866496,-9.2,25.85,63.59,57,9,2.93
263,Marshfield,US,1559866394,42.09,-70.71,71.01,88,1,3.36
264,Vila Franca do Campo,PT,1559866496,37.72,-25.43,60.8,72,40,4.7
265,Broome,GB,1559866236,52.47,1.45,57.0,81,49,6.93
266,Geraldton,CA,1559866496,49.72,-86.95,75.2,29,40,10.29
267,Acajutla,SV,1559866497,13.59,-89.83,78.01,92,43,4.54
268,Bahia Blanca,AR,1559866497,-38.72,-62.27,56.21,36,0,12.12
269,Humaita,AR,1559866497,-24.93,-65.37,60.8,77,0,9.17
270,Abay,KZ,1559866497,49.63,72.87,51.8,93,75,15.66
271,Puerto Narino,CO,1559866497,-3.77,-70.38,73.4,100,90,2.1
272,Goderich,CA,1559866497,43.74,-81.71,66.99,63,0,8.01
273,Rio Gallegos,AR,1559866498,-51.62,-69.22,39.2,80,20,10.29
274,Inuvik,CA,1559866485,68.36,-133.71,60.8,30,75,4.7
275,Norman Wells,CA,1559866498,65.28,-126.83,53.6,43,75,14.99
276,Bonthe,SL,1559866498,7.53,-12.5,79.79,82,100,6.58
277,Bella Union,CO,1559866499,8.5,-73.35,68.63,94,100,2.55
278,Northfield,US,1559866499,44.46,-93.16,86.0,24,1,3.36
279,Brownwood,US,1559866499,31.71,-98.99,87.01,45,1,10.29
280,Salalah,OM,1559866499,17.01,54.1,86.0,84,40,9.17
281,Vardo,US,1559866376,39.62,-77.74,84.2,58,75,3.36
282,Quelimane,MZ,1559866500,-17.88,36.89,65.75,97,0,1.28
283,Nieuw Amsterdam,SR,1559866500,5.88,-55.08,78.8,94,40,10.58
284,Bathsheba,BB,1559866500,13.22,-59.52,82.4,74,20,13.87
285,Iqaluit,CA,1559866500,63.75,-68.52,42.8,75,75,5.82
286,Tawang,BT,1559866501,27.59,91.87,55.67,75,50,3.85
287,Union,US,1559866502,47.36,-123.1,66.99,82,40,9.17
288,Tilichiki,RU,1559866502,60.47,166.1,51.17,66,100,6.96
289,Albanel,CA,1559866502,48.88,-72.44,60.8,36,20,4.7
290,Bourg-en-Bresse,FR,1559866503,46.21,5.22,60.8,59,0,10.29
291,Camacha,PT,1559866503,33.08,-16.33,68.0,88,75,17.22
292,Las Cruces,CL,1559866503,-33.5,-71.62,55.4,100,75,2.24
293,Ancud,CL,1559866431,-41.87,-73.83,44.6,87,20,5.82
294,Xai-Xai,MZ,1559866504,-25.04,33.64,70.07,84,13,9.26
295,Colares,PT,1559866504,38.8,-9.45,59.0,76,20,4.7
296,Takoradi,GH,1559866504,4.89,-1.75,77.27,90,100,5.73
297,Shelburne,CA,1559866290,44.08,-80.2,72.0,49,1,6.93
298,Rochester,US,1559866352,44.02,-92.46,84.2,30,1,3.36
299,Dawlatabad,AF,1559866504,36.41,64.91,75.83,19,14,7.0
300,Darovskoy,RU,1559866504,58.77,47.96,47.21,78,0,2.84
301,Jipijapa,EC,1559866505,-1.35,-80.58,78.8,83,75,5.82
302,Mangrol,IN,1559866505,25.33,76.51,98.15,9,71,5.37
303,San Jose,PH,1559866506,15.79,120.99,86.45,57,64,7.25
304,Kerman,IR,1559866506,30.29,57.06,60.8,21,0,6.93
305,Martinho Campos,BR,1559866506,-19.33,-45.24,59.81,69,0,3.38
306,Ekhabi,RU,1559866507,53.51,142.97,41.81,84,0,3.74
307,Muros,ES,1559866507,42.77,-9.06,55.99,93,40,9.17
308,Shirochanka,RU,1559866507,46.66,38.33,69.35,67,0,16.96
309,Pangnirtung,CA,1559866507,66.15,-65.72,44.15,59,74,0.65
310,Vestmannaeyjar,IS,1559866508,63.44,-20.27,49.91,64,0,9.53
311,Abu Zabad,SD,1559866508,12.35,29.25,83.39,54,81,11.3
312,Anaconda,US,1559866508,46.13,-112.94,73.99,40,20,12.75
313,Sitka,US,1559866509,37.17,-99.65,76.91,49,100,12.57
314,Fare,PF,1559866509,-16.7,-151.02,81.05,79,35,14.0
315,Ponta do Sol,BR,1559866509,-20.63,-46.0,54.59,84,0,4.61
316,Luena,AO,1559866509,-11.78,19.91,50.63,51,2,2.35
317,Huron,US,1559866509,44.36,-98.21,87.8,37,1,9.17
318,Cairns,AU,1559866487,-16.92,145.77,69.01,94,75,14.99
319,Mount Pleasant,US,1559866509,33.16,-94.97,86.0,51,1,4.7
320,Pochutla,MX,1559866511,15.74,-96.47,87.8,62,20,17.22
321,Cabedelo,BR,1559866511,-6.97,-34.84,75.2,88,0,5.82
322,Yeppoon,AU,1559866511,-23.13,150.74,68.0,56,0,12.75
323,Havre-Saint-Pierre,CA,1559866511,50.23,-63.6,51.8,66,1,14.99
324,Amapa,HN,1559866511,15.09,-87.97,91.4,66,40,18.34
325,La Teste-de-Buch,FR,1559866512,44.62,-1.18,66.2,68,0,9.17
326,Tongren,CN,1559866512,27.72,109.18,73.67,84,3,3.11
327,Mitsamiouli,KM,1559866512,-11.38,43.28,80.33,74,38,11.56
328,Wattegama,LK,1559866512,7.35,80.68,74.93,83,69,4.88
329,Outjo,NA,1559866512,-20.11,16.16,57.2,24,0,2.28
330,Mersin,TR,1559866512,36.81,34.63,70.0,88,0,4.7
331,Sorong,ID,1559866513,-0.86,131.25,82.67,79,30,2.86
332,Bloemfontein,ZA,1559866513,-29.12,26.22,28.4,86,9,6.93
333,Lusaka,ZM,1559866513,-15.42,28.28,57.29,46,0,3.6
334,Harrisburg,US,1559866513,40.27,-76.89,82.4,51,75,5.82
335,Lebedyn,UA,1559866514,50.58,34.48,60.17,79,0,7.4
336,Mobaye,CF,1559866514,4.33,21.18,74.39,76,88,2.44
337,Quatre Cocos,MU,1559866514,-20.21,57.76,73.0,88,75,18.34
338,Baykit,RU,1559866514,61.68,96.39,61.79,45,0,4.21
339,The Valley,AI,1559866447,18.22,-63.06,82.0,88,40,8.05
340,Yerbogachen,RU,1559866514,61.28,108.01,60.17,73,0,4.85
341,Sovetskiy,RU,1559866515,56.76,48.47,49.37,80,0,4.41
342,Mehamn,NO,1559866515,71.03,27.85,39.47,91,73,4.16
343,Aripuana,BR,1559866515,-9.17,-60.63,76.37,72,41,2.06
344,Port Hardy,CA,1559866515,50.7,-127.42,51.8,81,90,6.93
345,Zhangye,CN,1559866515,38.94,100.46,63.05,41,15,2.77
346,Steinfurt,DE,1559866516,52.13,7.39,55.99,100,0,2.24
347,Rio Grande,BR,1559866516,-32.03,-52.1,58.73,94,89,4.07
348,Mount Gambier,AU,1559866516,-37.83,140.78,51.8,81,90,5.82
349,Cayenne,GF,1559866234,4.94,-52.33,78.8,88,80,2.24
350,Komsomolskiy,RU,1559866516,67.55,63.78,31.01,96,98,7.76
351,Uray,RU,1559866517,60.13,64.8,48.29,82,87,12.71
352,Harper,US,1559866219,30.3,-99.24,91.99,35,1,4.7
353,Daru,SL,1559866517,7.99,-10.85,72.41,99,67,2.48
354,Ulladulla,AU,1559866517,-35.36,150.48,55.99,66,0,9.17
355,Tooele,US,1559866344,40.53,-112.3,78.8,73,40,6.58
356,Grootfontein,NA,1559866517,-19.56,18.1,49.01,58,0,3.33
357,Kouango,CF,1559866517,4.99,19.98,70.61,93,67,3.71
358,Taoudenni,ML,1559866517,22.68,-3.98,97.07,10,1,6.51
359,Nanchang,CN,1559866518,28.68,115.89,76.37,74,2,3.06
360,Malpe,IN,1559866518,13.35,74.72,78.8,83,40,1.5
361,Tura,IN,1559866518,25.52,90.21,79.07,82,68,4.54
362,Karakol,KG,1559866518,42.49,78.39,49.91,69,41,8.19
363,Matiri,UG,1559866518,0.58,30.76,60.71,92,100,1.34
364,Teguise,ES,1559866519,29.06,-13.56,66.2,72,20,14.99
365,Monroe,US,1559866304,41.91,-83.4,73.99,88,1,4.7
366,Taltal,CL,1559866519,-25.41,-70.49,60.89,73,65,6.13
367,Buchanan,LR,1559866519,5.88,-10.05,78.8,94,20,8.61
368,Perth,GB,1559866229,56.4,-3.43,50.0,93,0,2.24
369,Maniitsoq,GL,1559866283,65.42,-52.9,40.37,85,99,2.46
370,Carnarvon,ZA,1559866520,-30.97,22.13,41.63,40,88,3.62
371,Minas,UY,1559866520,-34.38,-55.24,57.2,82,0,8.46
372,Bandarbeyla,SO,1559866520,9.49,50.81,81.41,67,100,22.68
373,Conselheiro Pena,BR,1559866520,-19.17,-41.47,63.77,78,63,5.1
